Element ID,X_Coordinate,Y_Coordinate,Z_Coordinate,Easting_Coordinate,Northing_Coordinate
748592,"888,435,889","1,310,267,144",1100,"888,435,889","1,310,267,144"
748597,"8,831,355,972","1,315,517,144",1100,"8,831,355,972","1,315,517,144"
748602,"8,831,355,972","1,313,767,144",1100,"8,831,355,972","1,313,767,144"
748607,"8,831,355,972","1,312,017,144",1100,"8,831,355,972","1,312,017,144"
748612,"8,831,355,972","1,310,267,144",1100,"8,831,355,972","1,310,267,144"
748617,"883,435,889","1,315,517,144",1100,"883,435,889","1,315,517,144"
748622,"883,435,889","1,313,767,144",1100,"883,435,889","1,313,767,144"
748627,"883,435,889","1,312,017,144",1100,"883,435,889","1,312,017,144"
748632,"883,435,889","1,310,267,144",1100,"883,435,889","1,310,267,144"
748637,"883,435,889","1,318,364,679",1100,"883,435,889","1,318,364,679"
748642,"883,435,889","1,320,114,679",1100,"883,435,889","1,320,114,679"
748647,"883,435,889","1,321,864,679",1100,"883,435,889","1,321,864,679"
748652,"8,934,132,115","1,311,334,122",1100,"8,934,132,115","1,311,334,122"
748657,"8,831,355,972","1,318,364,679",1100,"8,831,355,972","1,318,364,679"
748662,"8,831,355,972","1,320,114,679",1100,"8,831,355,972","1,320,114,679"
748667,"8,831,355,972","1,321,864,679",1100,"8,831,355,972","1,321,864,679"
748672,"8,931,129,197","1,311,334,122",1100,"8,931,129,197","1,311,334,122"
748677,"888,435,889","1,318,364,679",1100,"888,435,889","1,318,364,679"
748682,"888,435,889","1,320,114,679",1100,"888,435,889","1,320,114,679"
748687,"888,435,889","1,321,864,679",1100,"888,435,889","1,321,864,679"
748692,"8,934,132,115","1,313,084,122",1100,"8,934,132,115","1,313,084,122"
748697,"8,881,355,972","1,318,364,679",1100,"8,881,355,972","1,318,364,679"
748702,"8,881,355,972","1,320,114,679",1100,"8,881,355,972","1,320,114,679"
748707,"8,881,355,972","1,321,864,679",1100,"8,881,355,972","1,321,864,679"
748712,"8,931,129,197","1,313,084,122",1100,"8,931,129,197","1,313,084,122"
750635,"8,622,148,496","1,310,161,486",1100,"8,622,148,496","1,310,161,486"
750640,"8,622,148,496","1,311,661,486",1100,"8,622,148,496","1,311,661,486"
750645,"8,622,148,496","1,313,161,486",1100,"8,622,148,496","1,313,161,486"
750650,"8,622,148,496","1,314,661,486",1100,"8,622,148,496","1,314,661,486"
750655,"8,722,148,496","1,319,086,692",1100,"8,722,148,496","1,319,086,692"
750660,"8,722,148,496","1,320,586,692",1100,"8,722,148,496","1,320,586,692"
